=== Table Summary ===
**Column Analysis:**

1. Year:
   - Data type: Numeric
   - 4 representative example values: 1922, 1924, 1925, 1930
   - Role: Identifier for the year the book was published.

2. Title:
   - Data type: Categorical
   - 4 representative example values: The Day of the Beast, The Call of the Canyon, The Thundering Herd, The Shepherd of Guadaloupe
   - Role: Descriptor for the title of the book.

3. Genre:
   - Data type: Categorical
   - 4 representative example values: Fiction, Western
   - Role: Descriptor for the genre of the book.

4. Publisher:
   - Data type: Categorical
   - 4 representative example values: Harper & Brothers, Walter J. Black
   - Role: Descriptor for the publisher of the book.

5. Notes:
   - Data type: Numeric
   - 4 representative example values: nan
   - Role: Measure for any additional notes related to the book.

**Outlier Row Analysis:**

1. Row 1:
   - The values in this row are not significantly different from the majority of the table. Therefore, this row is an ordinary row and does not require special handling.

2. Row 91:
   - The values in this row are missing (nan), which is a common occurrence in the "Notes" column. This row is an ordinary row and does not require special handling.

3. Row 24:
   - The values in this row are not significantly different from the majority of the table. Therefore, this row is an ordinary row and does not require special handling.

=== Full Table Preview ===
|   row_number |   Year | Title                                             | Genre      | Publisher             | Notes                                                                       |
|-------------:|-------:|:--------------------------------------------------|:-----------|:----------------------|:----------------------------------------------------------------------------|
|            0 |   1903 | Betty Zane                                        | Historical | Charles Francis Press |                                                                             |
|            1 |   1906 | Spirit of the Border                              | Historical | A. L. Burt & Company  | Sequel to Betty Zane                                                        |
|            2 |   1908 | The Last of the Plainsmen                         | Western    | Outing Publishing     | Inspired by Charles "Buffalo" Jones                                         |
|            3 |   1909 | The Last Trail                                    | Western    | Outing Publishing     | Sequel to Spirit of the Border                                              |
|            4 |   1909 | The ShortStop                                     | Baseball   | A. C. McClurg         |                                                                             |
|            5 |   1910 | The Heritage of the Desert                        | Western    | Harper & Brothers     |                                                                             |
|            6 |   1910 | The Young Forester                                | Western    | Harper & Brothers     |                                                                             |
|            7 |   1911 | The Young Pitcher                                 | Baseball   | Harper & Brothers     |                                                                             |
|            8 |   1911 | The Young Lion Hunter                             | Western    | Harper & Brothers     |                                                                             |
|            9 |   1912 | Riders of the Purple Sage                         | Western    | Harper & Brothers     |                                                                             |
|           10 |   1912 | Ken Ward in the Jungle                            | Western    | Harper & Brothers     |                                                                             |
|           11 |   1913 | Desert Gold                                       | Western    | Harper & Brothers     |                                                                             |
|           12 |   1914 | The Light of Western Stars                        | Western    | Harper & Brothers     |                                                                             |
|           13 |   1915 | The Lone Star Ranger                              | Western    | Harper & Brothers     |                                                                             |
|           14 |   1915 | The Rainbow Trail                                 | Western    | Harper & Brothers     | Sequel to Riders of the Purple Sage                                         |
|           15 |   1916 | The Border Legion                                 | Western    | Harper & Brothers     |                                                                             |
|           16 |   1917 | Wildfire                                          | Western    | Harper & Brothers     |                                                                             |
|           17 |   1918 | The UP Trail                                      | Western    | Harper & Brothers     |                                                                             |
|           18 |   1919 | The Desert of Wheat                               | Western    | Harper & Brothers     |                                                                             |
|           19 |   1919 | Tales of Fishes                                   | Fishing    | Harper & Brothers     |                                                                             |
|           20 |   1920 | The Man of the Forest                             | Western    | Grosset & Dunlap      |                                                                             |
|           21 |   1920 | The Redheaded Outfield and other Baseball Stories | Baseball   | Harper & Brothers     |                                                                             |
|           22 |   1921 | The Mysterious Rider                              | Western    | Harper & Brothers     |                                                                             |
|           23 |   1921 | To the Last Man                                   | Western    | Harper & Brothers     |                                                                             |
|           24 |   1922 | The Day of the Beast                              | Fiction    | Harper & Brothers     |                                                                             |
|           25 |   1922 | Tales of Lonely Trails                            | Adventure  | Harper & Brothers     |                                                                             |
|           26 |   1923 | Wanderer of the Wasteland                         | Western    | Harper & Brothers     |                                                                             |
|           27 |   1923 | Tappan's Burro                                    | Western    | Harper & Brothers     |                                                                             |
|           28 |   1924 | The Call of the Canyon                            | Western    | Harper & Brothers     |                                                                             |
|           29 |   1924 | Roping Lions in the Grand Canyon                  | Adventure  | Harper & Brothers     |                                                                             |
|           30 |   1924 | Tales of Southern Rivers                          | Fishing    | Harper & Brothers     |                                                                             |
|           31 |   1925 | The Thundering Herd                               | Western    | Harper & Brothers     |                                                                             |
|           32 |   1925 | The Vanishing American                            | Western    | Harper & Brothers     |                                                                             |
|           33 |   1925 | Tales of Fishing Virgin Seas                      | Fishing    | Harper & Brothers     |                                                                             |
|           34 |   1926 | Under the Tonto Rim                               | Western    | Harper & Brothers     |                                                                             |
|           35 |   1926 | Tales of the Angler's Eldorado New Zealand        | Fishing    | Harper & Brothers     |                                                                             |
|           36 |   1927 | Forlorn River                                     | Western    | Harper & Brothers     |                                                                             |
|           37 |   1927 | Tales of Swordfish and Tuna                       | Fishing    | Harper & Brothers     |                                                                             |
|           38 |   1928 | Nevada                                            | Western    | Harper & Brothers     | Sequel to Forlorn River                                                     |
|           39 |   1928 | Wild Horse Mesa                                   | Western    | Harper & Brothers     |                                                                             |
|           40 |   1928 | Don the Story of a Lion Dog                       | Western    | Harper & Brothers     |                                                                             |
|           41 |   1928 | Avalanche                                         | Western    | Harper & Brothers     |                                                                             |
|           42 |   1928 | Tales of Fresh Water Fishing                      | Fishing    | Harper & Brothers     |                                                                             |
|           43 |   1929 | Fighting Caravans                                 | Western    | Harper & Brothers     |                                                                             |
|           44 |   1929 | Stairs of Sand                                    | Western    | Harper & Brothers     |                                                                             |
|           45 |   1930 | The Wolf Tracker                                  | Western    | Harper & Brothers     |                                                                             |
|           46 |   1930 | The Shepherd of Guadaloupe                        | Western    | Harper & Brothers     |                                                                             |
|           47 |   1931 | Sunset Pass                                       | Western    | Harper & Brothers     |                                                                             |
|           48 |   1931 | Tales of Tahitian Waters                          | Fishing    | Harper & Brothers     |                                                                             |
|           49 |   1931 | Book of Camps and Trails                          | Adventure  | Harper & Brothers     | Partial re-print of Tales of Lonely Trails                                  |
|           50 |   1932 | Arizona Ames                                      | Western    | Harper & Brothers     |                                                                             |
|           51 |   1932 | Robbers' Roost                                    | Western    | Harper & Brothers     |                                                                             |
|           52 |   1933 | The Drift Fence                                   | Western    | Harper & Brothers     |                                                                             |
|           53 |   1933 | The Hash Knife Outfit                             | Western    | Harper & Brothers     | Sequel to The Drift Fence                                                   |
|           54 |   1934 | The Code of the West                              | Western    | Harper & Brothers     |                                                                             |
|           55 |   1935 | Thunder Mountain                                  | Western    | Harper & Brothers     |                                                                             |
|           56 |   1935 | The Trail Driver                                  | Western    | Whitman Publishing    |                                                                             |
|           57 |   1936 | The Lost Wagon Train                              | Western    | Harper & Brothers     |                                                                             |
|           58 |   1937 | West of the Pecos                                 | Western    | Whitman Publishing    |                                                                             |
|           59 |   1937 | An American Angler in Australia                   | Fishing    | Whitman Publishing    |                                                                             |
|           60 |   1938 | Raiders of Spanish Peaks                          | Western    | Whitman Publishing    |                                                                             |
|           61 |   1939 | Western Union                                     | Western    | Harper & Brothers     |                                                                             |
|           62 |   1939 | Knights of the Range                              | Western    | Harper & Brothers     |                                                                             |
|           63 |   1940 | Thirty thousand on the Hoof                       | Western    | Harper & Brothers     |                                                                             |
|           64 |   1940 | Twin Sombreros                                    | Western    | Harper & Brothers     | Sequel to Knights of the Range                                              |
